Text filter;Country;Place;Date;Retweet count;Reply count;Favorites;Timestamp
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:18;933;169;358;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:18;93;29;78;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:19;957;173;366;Yes
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;3;14;48;No
Andrés Arauz;Ecuador;Loja;01/01/2021 14:19;96;30;79;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:19;9;15;50;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:19;1002;181;381;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:19;957;173;366;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;24;18;55;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;933;169;358;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:19;9060;1524;3067;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:19;951;172;364;No
Guillermo Lasso;Ecuador;Loja;01/01/2021 14:19;96;30;79;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;9555;1606;3232;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:19;225;51;122;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:19;930;169;357;No
Yaku Pérez;Ecuador;Guayas;01/01/2021 14:19;951;172;364;No
Yaku Pérez;Ecuador;Pichincha;01/01/2021 14:19;906;165;349;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;9507;1598;3216;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:19;9555;1606;3232;No
Yaku Pérez;Ecuador;Imbabura;01/01/2021 14:19;930;169;357;No
Lucio Guitérrez;Ecuador;Azuay;01/01/2021 14:19;933;169;358;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;9;15;50;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:19;90;29;77;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;84;28;75;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;957;173;366;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:19;0;14;47;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;933;169;358;No
Xavier Hervas;Ecuador;Pichincha;01/01/2021 14:19;48;22;63;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:19;957;173;366;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:19;9555;1606;3232;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:20;3;14;48;No
Andrés Arauz;Ecuador;Manabí;01/01/2021 14:20;468;92;203;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:20;3;14;48;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:20;90;29;77;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:20;90;29;77;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:20;957;173;366;No
Lucio Guitérrez;Ecuador;Guayas;01/01/2021 14:20;225;51;122;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:20;9;15;50;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:20;933;169;358;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:20;96;30;79;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:20;48;22;63;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:20;93;29;78;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:20;957;173;366;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:20;933;169;358;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:20;99;30;80;No
Xavier Hervas;Ecuador;Pichincha;01/01/2021 14:20;90;29;77;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:20;933;169;358;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:20;36;20;59;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:20;225;51;122;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:20;96;30;79;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:20;90;29;77;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:20;99;30;80;No
Guillermo Lasso;Ecuador;Loja;01/01/2021 14:20;906;165;349;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:20;9;15;50;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:20;954;173;365;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:20;9060;1524;3067;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:20;96;30;79;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:20;957;173;366;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:20;957;173;366;No
Guillermo Lasso;Ecuador;Manabí;01/01/2021 14:20;1065;191;402;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:20;9;15;50;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:20;933;169;358;No
Yaku Pérez;Ecuador;Pichincha;01/01/2021 14:20;933;169;358;No
Lucio Guitérrez;Ecuador;Pichincha;01/01/2021 14:20;90;29;77;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:20;906;165;349;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:20;9;15;50;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:20;84;28;75;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:21;957;173;366;No
Yaku Pérez;Ecuador;Guayas;01/01/2021 14:21;954;173;365;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:21;90;29;77;No
Xavier Hervas;Ecuador;Guayas;01/01/2021 14:21;543;104;228;No
Yaku Pérez;Ecuador;Guayas;01/01/2021 14:21;6561;1107;2234;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:21;957;173;366;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:21;93;29;78;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:21;96;30;79;No
Yaku Pérez;Ecuador;Guayas;01/01/2021 14:21;9057;1523;3066;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:21;930;169;357;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:21;9060;1524;3067;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:21;786;145;309;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:21;906;165;349;No
Lucio Guitérrez;Ecuador;Azuay;01/01/2021 14:21;96;30;79;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:21;96;30;79;No
Lucio Guitérrez;Ecuador;Azuay;01/01/2021 14:21;93;29;78;No
Guillermo Lasso;Ecuador;Manabí;01/01/2021 14:22;39;20;60;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:22;933;169;358;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:22;93;29;78;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:22;957;173;366;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:22;96;30;79;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:22;933;169;358;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:22;906;165;349;No
Yaku Pérez;Ecuador;Pichincha;01/01/2021 14:22;90;29;77;No
Andrés Arauz;Ecuador;Cañar;01/01/2021 14:22;906;165;349;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:22;957;173;366;No
Lucio Guitérrez;Ecuador;Pichincha;01/01/2021 14:22;96;30;79;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:22;99;30;80;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:22;7911;1332;2684;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:22;957;173;366;No
Lucio Guitérrez;Ecuador;Guayas;01/01/2021 14:22;954;173;365;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:22;933;169;358;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:22;96;30;79;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:22;957;173;366;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:22;225;51;122;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:22;2259;390;800;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:22;24;18;55;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:22;96;30;79;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:22;93;29;78;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:22;933;169;358;No
Yaku Pérez;Ecuador;El Oro;01/01/2021 14:22;66;25;69;No
Lucio Guitérrez;Ecuador;Guayas;01/01/2021 14:22;93;29;78;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:22;84;28;75;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:23;0;14;47;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:23;90;29;77;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:23;9;15;50;No
Lucio Guitérrez;Ecuador;Azuay;01/01/2021 14:23;90;29;77;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:23;54;23;65;No
Lucio Guitérrez;Ecuador;Pichincha;01/01/2021 14:23;9060;1524;3067;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:23;9;15;50;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:23;954;173;365;No
Lucio Guitérrez;Ecuador;Pichincha;01/01/2021 14:23;906;165;349;No
Lucio Guitérrez;Ecuador;Pichincha;01/01/2021 14:23;951;172;364;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:23;933;169;358;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:23;225;51;122;No
Guillermo Lasso;Ecuador;Morona Santiago;01/01/2021 14:23;3;14;48;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:23;957;173;366;No
Guillermo Lasso;Ecuador;Loja;01/01/2021 14:23;225;51;122;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:23;2262;391;801;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:23;120;34;87;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:23;957;173;366;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:23;9507;1598;3216;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:23;93;29;78;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:23;933;169;358;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:23;87;28;76;No
Yaku Pérez;Ecuador;Guayas;01/01/2021 14:23;9;15;50;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:23;957;173;366;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:23;90;29;77;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:23;90;29;77;Yes
Xavier Hervas;Ecuador;Pichincha;01/01/2021 14:23;933;169;358;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:23;93;29;78;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:24;90;29;77;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:24;933;169;358;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:24;96;30;79;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:24;84;28;75;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:24;1002;181;381;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:24;9060;1524;3067;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:24;93;29;78;Yes
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:24;954;173;365;No
Guillermo Lasso;Ecuador;Manabí;01/01/2021 14:24;930;169;357;No
Yaku Pérez;Ecuador;Loja;01/01/2021 14:24;906;165;349;No
Xavier Hervas;Ecuador;Cañar;01/01/2021 14:24;906;165;349;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:24;933;169;358;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:24;375;76;172;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:24;864;158;335;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:24;6561;1107;2234;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:24;84;28;75;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:24;957;173;366;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:24;6561;1107;2234;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:24;930;169;357;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:24;96;30;79;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:24;933;169;358;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:24;84;28;75;No
Guillermo Lasso;Ecuador;Santa Elena;01/01/2021 14:24;906;165;349;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:24;933;169;358;No
Yaku Pérez;Ecuador;Pichincha;01/01/2021 14:24;9060;1524;3067;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:24;9;15;50;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:25;9;15;50;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;2262;391;801;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:25;933;169;358;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;9;15;50;No
Lucio Guitérrez;Ecuador;Guayas;01/01/2021 14:25;9306;1565;3149;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;957;173;366;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:25;864;158;335;No
Guillermo Lasso;Ecuador;El Oro;01/01/2021 14:25;930;169;357;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;90;29;77;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:25;951;172;364;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;9;15;50;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;957;173;366;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;957;173;366;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:25;933;169;358;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:25;99;30;80;No
Xavier Hervas;Ecuador;Pichincha;01/01/2021 14:25;9060;1524;3067;No
Lucio Guitérrez;Ecuador;Pichincha;01/01/2021 14:25;12;16;51;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:25;54;23;65;No
Lucio Guitérrez;Ecuador;Pichincha;01/01/2021 14:25;9;15;50;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:25;99;30;80;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:25;9;15;50;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;0;14;47;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:25;96;30;79;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:25;933;169;358;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;93;29;78;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:25;96;30;79;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:26;225;51;122;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:26;96;30;79;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:26;186;45;109;Yes
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:26;954;173;365;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:26;90;29;77;No
Lucio Guitérrez;Ecuador;Pichincha;01/01/2021 14:26;9060;1524;3067;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:26;123;34;88;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:26;9555;1606;3232;No
Andrés Arauz;Ecuador;Bolivar;01/01/2021 14:26;9462;1591;3201;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:26;90;29;77;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:26;9060;1524;3067;No
Yaku Pérez;Ecuador;Pichincha;01/01/2021 14:26;9060;1524;3067;No
Andrés Arauz;Ecuador;Bolivar;01/01/2021 14:26;759;140;300;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:26;951;172;364;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:26;9;15;50;Yes
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:26;10062;1691;3401;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:26;84;28;75;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:26;93;29;78;Yes
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:26;957;173;366;No
Lucio Guitérrez;Ecuador;Pichincha;01/01/2021 14:26;933;169;358;No
Yaku Pérez;Ecuador;Pichincha;01/01/2021 14:26;9060;1524;3067;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:27;957;173;366;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:27;9555;1606;3232;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:27;90;29;77;No
Andrés Arauz;Ecuador;Cañar;01/01/2021 14:27;906;165;349;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:27;93;29;78;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:27;225;51;122;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:27;1005;181;382;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:27;957;173;366;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:27;9555;1606;3232;No
Lucio Guitérrez;Ecuador;Tungurahua;01/01/2021 14:27;933;169;358;No
Lucio Guitérrez;Ecuador;Napo;01/01/2021 14:27;6;15;49;No
Andrés Arauz;Ecuador;Napo;01/01/2021 14:27;864;158;335;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:27;9060;1524;3067;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:27;9;15;50;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:27;9;15;50;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:27;9555;1606;3232;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:27;9555;1606;3232;No
Guillermo Lasso;Ecuador;Orellana;01/01/2021 14:27;957;173;366;No
Andrés Arauz;Ecuador;Orellana;01/01/2021 14:27;450;89;197;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:27;90;29;77;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:27;345;71;162;No
Xavier Hervas;Ecuador;Pichincha;01/01/2021 14:27;90;29;77;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:27;957;173;366;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:27;957;173;366;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:27;90;29;77;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:27;96;30;79;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:27;9;15;50;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:28;2262;391;801;No
Yaku Pérez;Ecuador;Guayas;01/01/2021 14:28;345;71;162;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:28;906;165;349;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:28;99;30;80;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:28;957;173;366;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:28;93;29;78;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:28;9;15;50;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:28;957;173;366;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:28;1005;181;382;Yes
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:28;9057;1523;3066;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:28;2262;391;801;No
Xavier Hervas;Ecuador;Guayas;01/01/2021 14:28;657;123;266;No
Andrés Arauz;Ecuador;Pastaza;01/01/2021 14:28;543;104;228;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:28;90;29;77;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:28;954;173;365;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:28;10062;1691;3401;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:28;957;173;366;No
Yaku Pérez;Ecuador;Pastaza;01/01/2021 14:28;4959;840;1700;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:28;93;29;78;No
Xavier Hervas;Ecuador;Pichincha;01/01/2021 14:28;9306;1565;3149;No
Yaku Pérez;Ecuador;Pichincha;01/01/2021 14:28;906;165;349;Yes
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:28;96;30;79;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:28;9;15;50;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:28;954;173;365;No
Xavier Hervas;Ecuador;Pichincha;01/01/2021 14:29;906;165;349;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:29;9;15;50;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:29;9060;1524;3067;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:29;96;30;79;No
Xavier Hervas;Ecuador;Guayas;01/01/2021 14:29;93;29;78;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:29;957;173;366;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:29;957;173;366;Yes
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:29;345;71;162;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:29;9060;1524;3067;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:29;93;29;78;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:29;96;30;79;No
Guillermo Lasso;Ecuador;Loja;01/01/2021 14:29;9;15;50;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:29;90;29;77;No
Andrés Arauz;Ecuador;Sucumbios;01/01/2021 14:29;3660;624;1267;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:29;9;15;50;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:29;957;173;366;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:29;933;169;358;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:29;933;169;358;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:29;9306;1565;3149;No
Yaku Pérez;Ecuador;Pichincha;01/01/2021 14:29;87;28;76;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:29;957;173;366;No
Andrés Arauz;Ecuador;Sucumbios;01/01/2021 14:30;357;73;166;No
Guillermo Lasso;Ecuador;Morona Santiago;01/01/2021 14:30;24;18;55;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:30;9;15;50;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:30;90;29;77;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:30;957;173;366;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:30;933;169;358;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:30;93;29;78;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:30;96;30;79;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:30;906;165;349;No
Xavier Hervas;Ecuador;Cañar;01/01/2021 14:30;906;165;349;No
Yaku Pérez;Ecuador;Pichincha;01/01/2021 14:30;906;165;349;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:30;933;169;358;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:30;642;121;261;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:30;3456;590;1199;No
Andrés Arauz;Ecuador;Manabí;01/01/2021 14:30;1089;195;410;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:30;9;15;50;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:30;9555;1606;3232;No
Yaku Pérez;Ecuador;Guayas;01/01/2021 14:30;933;169;358;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:30;9555;1606;3232;No
Xavier Hervas;Ecuador;Pichincha;01/01/2021 14:30;906;165;349;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:30;93;29;78;No
Lucio Guitérrez;Ecuador;Azuay;01/01/2021 14:30;90;29;77;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:30;90;29;77;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:30;951;172;364;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:30;9555;1606;3232;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:30;906;165;349;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:30;954;173;365;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:31;540;104;227;No
Guillermo Lasso;Ecuador;Guayas;01/01/2021 14:31;39;20;60;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:31;933;169;358;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:31;957;173;366;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:31;90;29;77;No
